start_dt,match_type,rule,map_type,map,cost,result,medi_rating,num_member,num_ally_raid,num_ally_general,num_ally_support,num_ally_disconnect,num_enemy_raid,num_enemy_general,num_enemy_support,num_enemy_disconnect,ally_team,my_ms,my_category,new_rating,result_rival,score,assist,damage,diversion,defeat_cnt,loss_cnt,chase_assist
2021-08-22T22:51:37.574412,レーティングマッチ,エースマッチ,地上,北極基地,550,lose,A,5,1,3,1,0,1,3,1,0,team_a,零式弐型（AR）,支援,2542,lose,2105,330,50187,0.209,3,4,8200
2021-08-22T23:05:55.106620,レーティングマッチ,ベーシック,地上,廃墟都市,650,win,A+,6,1,4,1,0,1,4,0,1,team_a,Ζガンダム［HML］,支援,2542,win,2805,780,61048,0.1578,3,3,5700
2021-08-22T23:23:41.776652,レーティングマッチ,ベーシック,地上,廃墟都市,650,win,A+,6,1,4,1,0,2,3,1,0,team_a,ジ・O,汎用,2570,win,5393,768,145433,0.1467,7,3,34700
2021-08-22T23:37:17.135296,レーティングマッチ,ベーシック,地上,廃墟都市,650,win,A+,6,1,3,2,0,1,4,1,0,team_a,ジ・O,汎用,2583,win,2740,780,97637,0.169,2,3,12800
2021-08-22T23:51:29.222766,レーティングマッチ,ベーシック,地上,廃墟都市,650,lose,A+,6,1,4,1,0,1,4,1,0,team_a,Ζガンダム［HML］,支援,2570,lose,2130,780,61099,0.2218,2,4,2900
2021-08-23T00:02:09.591025,レーティングマッチ,ベーシック,地上,密林地帯,700,lose,A+,5,0,4,1,0,1,3,1,0,team_b,Ζガンダム［HML］,支援,2555,lose,2639,414,70251,0.1754,3,2,17300
2021-08-23T00:13:04.416128,レーティングマッチ,ベーシック,地上,密林地帯,450,win,A+,6,1,4,1,0,1,4,1,0,team_a,アイザック,支援,2564,lose,2433,540,62020,0.2376,3,4,3400
2021-08-23T00:23:24.393490,レーティングマッチ,ベーシック,地上,港湾基地（注水）,700,win,A+,5,0,4,1,0,1,3,1,0,team_a,Ζガンダム［HML］,支援,2577,win,4196,621,88772,0.1883,5,3,9800
2021-08-23T00:37:34.516556,レーティングマッチ,ベーシック,地上,無人都市,700,win,A+,5,0,3,2,0,1,3,1,0,team_a,νガンダム,汎用,2589,win,1605,630,68240,0.2001,1,2,8300
2021-08-23T00:50:11.286692,レーティングマッチ,ベーシック,地上,墜落跡地,700,win,A+,5,1,3,1,0,0,2,2,1,team_a,Ζガンダム［HML］,支援,2603,win,4270,1449,110658,0.2403,3,1,9700
2021-08-24T01:06:40.338317,レーティングマッチ,ベーシック,地上,北極基地,700,win,A+,5,0,4,1,0,0,4,1,0,team_b,Ζガンダム［HML］,支援,2616,win,4142,1242,114156,0.1671,4,3,7300
2021-08-24T01:24:37.968750,レーティングマッチ,ベーシック,地上,北極基地,700,win,A+,5,0,4,1,0,0,4,1,0,team_a,Ζガンダム［HML］,支援,2616,win,6242,621,130606,0.1013,7,1,1700
2021-08-24T01:38:11.966638,レーティングマッチ,ベーシック,地上,北極基地,700,win,A,5,0,4,1,0,0,5,0,0,team_b,Ζガンダム［HML］,支援,2645,win,5210,2310,180226,0.1967,4,2,19900
2021-08-24T01:49:58.863769,レーティングマッチ,ベーシック,地上,北極基地,700,lose,A+,5,0,4,1,0,1,3,1,0,team_b,Ζガンダム［HML］,支援,2630,lose,2575,1260,94270,0.1291,1,2,8100
2021-08-24T02:00:22.947500,レーティングマッチ,ベーシック,地上,北極基地,700,win,A+,5,0,4,1,0,0,3,1,1,team_a,Ζガンダム［HML］,支援,2645,win,4395,1449,109119,0.2263,3,1,17000
2021-08-24T02:21:34.623056,レーティングマッチ,ベーシック,地上,廃墟都市,650,win,A+,5,0,4,1,0,1,3,1,0,team_b,Ζガンダム［HML］,支援,2652,lose,3175,975,62265,0.1319,3,3,2500
2021-08-24T22:59:29.095530,レーティングマッチ,ベーシック,地上,熱帯砂漠,400,lose,S-,6,1,4,1,0,1,4,1,0,team_b,ジム・SC［ML装備］,支援,2655,win,800,600,59575,0.182,0,2,13200
2021-08-24T23:09:34.880128,レーティングマッチ,ベーシック,地上,熱帯砂漠,400,win,A,6,1,4,1,0,1,4,1,0,team_b,ジム・ドミナンス,汎用,2668,win,2705,480,86380,0.1698,5,2,10500
2021-08-24T23:22:13.994350,レーティングマッチ,ベーシック,地上,熱帯砂漠,400,win,A+,6,1,4,1,0,1,4,1,0,team_a,ジム・SC［ML装備］,支援,2684,win,2830,1080,116190,0.1075,4,1,0
